Ticker,MAE,RMSE,MAPE,TestPoints
AUD=X,0.014815794626871751,0.018444430511751635,1.0055150865866054,150
CAD=X,0.006126417318979905,0.007568298705581571,0.45487160071425276,150
CHF=X,0.00496659835179647,0.006926890958800475,0.5506649360238122,150
CNY=X,0.03092207908630384,0.03744889706382069,0.4444220976305248,150
EUR=X,0.005870349009831739,0.007453138131145806,0.6383457371723706,150
GBP=X,0.005906410217285156,0.007339593244001991,0.7349157755109678,150
HKD=X,0.004963308970133369,0.006039495073071139,0.06335608705001568,150
INR=X,0.2842861938476565,0.371032209933072,0.3455774070201384,150
JPY=X,1.1692446899414062,1.472499545333393,0.8613003184687569,150
SGD=X,0.0046420709292093855,0.005875583094909554,0.3477634376253395,150
